?cls	?xref
<http://purl.obolibrary.org/obo/XAO_0003028>	"UBERON:0003102"
<http://purl.obolibrary.org/obo/XAO_0003259>	"CL:0000852"
<http://purl.obolibrary.org/obo/XAO_0003252>	"CL:0000311"
<http://purl.obolibrary.org/obo/XAO_0003143>	"UBERON:0009621"
<http://purl.obolibrary.org/obo/XAO_0004174>	"UBERON:0010205"
<http://purl.obolibrary.org/obo/XAO_0003064>	"UBERON:0007832"
<http://purl.obolibrary.org/obo/XAO_0000050>	"UBERON:0000926"
<http://purl.obolibrary.org/obo/XAO_0000223>	"UBERON:0003069"
<http://purl.obolibrary.org/obo/XAO_0004477>	"CL:0000192"
<http://purl.obolibrary.org/obo/XAO_0003232>	"CL:0000161"
<http://purl.obolibrary.org/obo/XAO_0003266>	"UBERON:0003894"
<http://purl.obolibrary.org/obo/XAO_1000012>	"UBERON:0000068"
<http://purl.obolibrary.org/obo/XAO_0000021>	"UBERON:0003053"
<http://purl.obolibrary.org/obo/XAO_0005299>	"UBERON:0001976"
<http://purl.obolibrary.org/obo/XAO_0004192>	"UBERON:0010075"
<http://purl.obolibrary.org/obo/XAO_0003203>	"UBERON:0003843"
<http://purl.obolibrary.org/obo/XAO_0005284>	"GO:0030017"
<http://purl.obolibrary.org/obo/XAO_0004004>	"UBERON:0000488"
<http://purl.obolibrary.org/obo/XAO_0004004>	"CARO:0000071"
<http://purl.obolibrary.org/obo/XAO_0000195>	"UBERON:0001853"
<http://purl.obolibrary.org/obo/XAO_0000077>	"CL:0007020"
<http://purl.obolibrary.org/obo/XAO_0000385>	"UBERON:0006174"
<http://purl.obolibrary.org/obo/XAO_0005134>	"CL:0000129"
<http://purl.obolibrary.org/obo/XAO_0000048>	"UBERON:0002342"
<http://purl.obolibrary.org/obo/XAO_0003164>	"CARO:0000074"
<http://purl.obolibrary.org/obo/XAO_0003164>	"UBERON:0000491"
<http://purl.obolibrary.org/obo/XAO_0004123>	"UBERON:0002087"
<http://purl.obolibrary.org/obo/XAO_0000187>	"UBERON:0003067"
<http://purl.obolibrary.org/obo/XAO_0003085>	"UBERON:0003107"
<http://purl.obolibrary.org/obo/XAO_0000008>	"UBERON:0000965"
<http://purl.obolibrary.org/obo/XAO_0005501>	"UBERON:0001555"
<http://purl.obolibrary.org/obo/XAO_0000316>	"UBERON:0002348"
<http://purl.obolibrary.org/obo/XAO_0000034>	"UBERON:0002538"
<http://purl.obolibrary.org/obo/XAO_0000167>	"UBERON:0001132"
<http://purl.obolibrary.org/obo/XAO_0003178>	"UBERON:0011152"
<http://purl.obolibrary.org/obo/XAO_0000459>	"UBERON:0003094"
<http://purl.obolibrary.org/obo/XAO_0000241>	"UBERON:0002065"
<http://purl.obolibrary.org/obo/XAO_0000015>	"UBERON:0002028"
<http://purl.obolibrary.org/obo/XAO_0003042>	"UBERON:0002050"
<http://purl.obolibrary.org/obo/XAO_0006034>	"CL:0000040"
<http://purl.obolibrary.org/obo/XAO_0003151>	"CL:0000018"
<http://purl.obolibrary.org/obo/XAO_0001101>	"UBERON:0003921"
<http://purl.obolibrary.org/obo/XAO_0004590>	"UBERON:2000599"
<http://purl.obolibrary.org/obo/XAO_0003210>	"UBERON:0000976"
<http://purl.obolibrary.org/obo/XAO_0004098>	"CL:0000103"
<http://purl.obolibrary.org/obo/XAO_0004267>	"CL:0000099"
<http://purl.obolibrary.org/obo/XAO_0003101>	"UBERON:0001780"
<http://purl.obolibrary.org/obo/XAO_0004271>	"UBERON:0001943"
<http://purl.obolibrary.org/obo/XAO_0000366>	"UBERON:0001532"
<http://purl.obolibrary.org/obo/XAO_0004011>	"UBERON:0005944"
<http://purl.obolibrary.org/obo/XAO_0004162>	"UBERON:0002012"
<http://purl.obolibrary.org/obo/XAO_0005308>	"UBERON:0002133"
<http://purl.obolibrary.org/obo/XAO_0004598>	"UBERON:0014775"
<http://purl.obolibrary.org/obo/XAO_0006005>	"GO:0043204"
<http://purl.obolibrary.org/obo/XAO_0000475>	"UBERON:0003098"
<http://purl.obolibrary.org/obo/XAO_1000003>	"UBERON:0000108"
<http://purl.obolibrary.org/obo/XAO_0004548>	"UBERON:0014740"
<http://purl.obolibrary.org/obo/XAO_0004210>	"UBERON:0002434"
<http://purl.obolibrary.org/obo/XAO_0000130>	"UBERON:0002108"
<http://purl.obolibrary.org/obo/XAO_0005070>	"UBERON:0005478"
<http://purl.obolibrary.org/obo/XAO_0003034>	"UBERON:0002075"
<http://purl.obolibrary.org/obo/XAO_0004578>	"UBERON:0001875"
<http://purl.obolibrary.org/obo/XAO_0004584>	"UBERON:0004684"
<http://purl.obolibrary.org/obo/XAO_0004259>	"UBERON:0004024"
<http://purl.obolibrary.org/obo/XAO_0001014>	"CL:0000148"
<http://purl.obolibrary.org/obo/XAO_0004025>	"UBERON:0010364"
<http://purl.obolibrary.org/obo/XAO_0005038>	"GO:0005634"
<http://purl.obolibrary.org/obo/XAO_0000254>	"UBERON:0007125"
<http://purl.obolibrary.org/obo/XAO_0005195>	"UBERON:0002005"
<http://purl.obolibrary.org/obo/XAO_0004555>	"UBERON:0005378"
<http://purl.obolibrary.org/obo/XAO_0003055>	"CL:0000037"
<http://purl.obolibrary.org/obo/XAO_0004101>	"UBERON:0001908"
<http://purl.obolibrary.org/obo/XAO_0003190>	"UBERON:0000464"
<http://purl.obolibrary.org/obo/XAO_0003190>	"CARO:0000005"
<http://purl.obolibrary.org/obo/XAO_0004017>	"UBERON:0010363"
<http://purl.obolibrary.org/obo/XAO_0005286>	"GO:0000235"
<http://purl.obolibrary.org/obo/XAO_0000062>	"UBERON:0005308"
<http://purl.obolibrary.org/obo/XAO_0000235>	"UBERON:0007005"
<http://purl.obolibrary.org/obo/XAO_0003198>	"UBERON:0002104"
<http://purl.obolibrary.org/obo/XAO_0000379>	"UBERON:0001101"
<http://purl.obolibrary.org/obo/XAO_0004535>	"UBERON:0002180"
<http://purl.obolibrary.org/obo/XAO_0003026>	"UBERON:0007812"
<http://purl.obolibrary.org/obo/XAO_0003257>	"CL:0000328"
<http://purl.obolibrary.org/obo/XAO_0000370>	"UBERON:0005616"
<http://purl.obolibrary.org/obo/XAO_0000012>	"UBERON:0001893"
<http://purl.obolibrary.org/obo/XAO_0003073>	"UBERON:0002090"
<http://purl.obolibrary.org/obo/XAO_0000215>	"UBERON:0001017"
<http://purl.obolibrary.org/obo/XAO_0003228>	"UBERON:0008777"
<http://purl.obolibrary.org/obo/XAO_0000472>	"CL:0000431"
<http://purl.obolibrary.org/obo/XAO_0003230>	"UBERON:0001774"
<http://purl.obolibrary.org/obo/XAO_0004202>	"UBERON:0011588"
<http://purl.obolibrary.org/obo/XAO_0006012>	"CL:0005001"
<http://purl.obolibrary.org/obo/XAO_1000010>	"UBERON:0000112"
<http://purl.obolibrary.org/obo/XAO_0003264>	"CL:0000669"
<http://purl.obolibrary.org/obo/XAO_0000097>	"UBERON:0004362"
<http://purl.obolibrary.org/obo/XAO_0004190>	"UBERON:0000095"
<http://purl.obolibrary.org/obo/XAO_0005120>	"GO:0005783"
<http://purl.obolibrary.org/obo/XAO_0004009>	"CARO:0000067"
