?x	?p	?y
<http://purl.obolibrary.org/obo/XAO_0005217>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000032>
<http://purl.obolibrary.org/obo/XAO_0004321>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000049>
<http://purl.obolibrary.org/obo/XAO_1000074>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_1000091>
<http://purl.obolibrary.org/obo/XAO_0004304>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0004578>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0004259>
<http://purl.obolibrary.org/obo/XAO_0005423>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0000279>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000280>
<http://purl.obolibrary.org/obo/XAO_0000018>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000085>
<http://purl.obolibrary.org/obo/XAO_0000148>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000057>
<http://purl.obolibrary.org/obo/XAO_0003036>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0003061>
<http://purl.obolibrary.org/obo/XAO_0000392>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000125>
<http://purl.obolibrary.org/obo/XAO_0004370>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0003059>
